"","fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol","quality"
"614",7.3,0.27,0.37,9.7,0.042,36,130,0.9979,3.48,0.75,9.9,6
"615",6.8,0.24,0.34,5.1,0.038,31,99,0.9921,3.24,0.46,11.8,6
"616",6.1,0.19,0.37,2.6,0.041,24,99,0.99153,3.18,0.5,10.9,6
"617",7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7
"618",6,0.24,0.28,3.95,0.038,61,134,0.99146,3.3,0.54,11.3,7
"619",6.1,0.41,0,1.6,0.063,36,87,0.9914,3.27,0.67,10.8,6
"620",6.4,0.29,0.44,3.6,0.197,75,183,0.9942,3.01,0.38,9.1,5
"621",6.9,0.13,0.28,13.3,0.05,47,132,0.99655,3.34,0.42,10.1,6
"622",7.6,0.27,0.24,3.8,0.058,19,115,0.9958,3.15,0.45,8.9,5
"623",8.2,0.26,0.33,2.6,0.053,11,71,0.99402,2.89,0.49,9.5,5
"624",6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,5
"625",5.8,0.2,0.24,1.4,0.033,65,169,0.99043,3.59,0.56,12.3,7
"626",8.3,0.16,0.37,7.9,0.025,38,107,0.99306,2.93,0.37,11.9,6
"627",10,0.91,0.42,1.6,0.056,34,181,0.9968,3.11,0.46,10,4
"628",6,0.17,0.49,1,0.034,26,106,0.992,3.21,0.42,9.8,6
"629",6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,6
"630",6,0.28,0.27,15.5,0.036,31,134,0.99408,3.19,0.44,13,7
"631",6.4,0.31,0.5,5.8,0.038,42,111,0.99189,3.18,0.53,11.9,7
"632",5.9,0.23,0.3,12.9,0.054,57,170,0.9972,3.28,0.39,9.4,5
"633",8.2,0.26,0.49,5.2,0.04,19,100,0.9941,3.12,0.34,10.1,6
"634",7.5,0.38,0.29,4.9,0.021,38,113,0.99026,3.08,0.48,13,7
"635",6.2,0.24,0.28,12.2,0.049,54,133,0.9952,3.19,0.37,10.7,6
"636",6.2,0.3,0.42,2.2,0.036,28,128,0.9901,3.13,0.38,11.6,6
"637",8.1,0.12,0.49,1.2,0.042,43,160,0.9934,3.13,0.48,9.7,6
"638",6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9,6
"639",7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6
"640",6.8,0.36,0.24,4.6,0.039,24,124,0.9909,3.27,0.34,12.6,7
"641",6.9,0.3,0.3,1.3,0.053,24,186,0.99361,3.29,0.54,9.9,4
"642",6.9,0.19,0.49,6.6,0.036,49,172,0.9932,3.2,0.27,11.5,6
"643",6,0.28,0.27,4.1,0.046,50,147,0.99126,3.27,0.56,11.6,6
"644",8.4,0.35,0.71,12.2,0.046,22,160,0.9982,2.98,0.65,9.4,5
"645",7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,6
"646",4.2,0.215,0.23,5.1,0.041,64,157,0.99688,3.42,0.44,8,3
"647",6.7,0.24,0.32,9,0.023,20,109,0.99262,3.34,0.35,12.6,6
"648",7,0.16,0.3,2.6,0.043,34,90,0.99047,2.88,0.47,11.2,6
"649",5.5,0.14,0.27,4.6,0.029,22,104,0.9949,3.34,0.44,9,5
"650",7.9,0.21,0.39,2,0.057,21,138,0.99176,3.05,0.52,10.9,5
"651",6.4,0.16,0.25,1.3,0.047,20,77,0.9933,3.61,0.54,10.2,6
"652",6.1,0.27,0.32,6.2,0.048,47,161,0.99281,3.22,0.6,11,6
"653",6,0.22,0.23,5,0.045,10,122,0.99261,2.94,0.63,10,6
"654",7.6,0.48,0.28,10.4,0.049,57,205,0.99748,3.24,0.45,9.3,5
"655",6.5,0.29,0.52,7.9,0.049,35,192,0.99551,3.16,0.51,9.5,6
"656",7,0.16,0.73,1,0.138,58,150,0.9936,3.08,0.3,9.2,5
"657",6.9,0.19,0.39,8,0.028,22,84,0.994,3.11,0.66,10.8,6
"658",8.3,0.21,0.4,1.6,0.032,35,110,0.9907,3.02,0.6,12.9,7
"659",8.5,0.21,0.41,4.3,0.036,24,99,0.9947,3.18,0.53,9.7,6
"660",7.6,0.285,0.32,14.6,0.063,32,201,0.998,3,0.45,9.2,5
"661",8.4,0.2,0.31,2.8,0.054,16,89,0.99416,2.96,0.45,9.5,6
"662",7.4,0.24,0.22,10.7,0.042,26,81,0.9954,2.86,0.36,9.7,6
"663",6.6,0.34,0.24,3.3,0.034,29,99,0.99031,3.1,0.4,12.3,7
"664",6.4,0.26,0.21,7.1,0.04,35,162,0.9956,3.39,0.58,9.9,6
"665",6,0.555,0.26,4.5,0.053,17,126,0.9943,3.24,0.46,9.1,5
"666",7.1,0.34,0.49,1.5,0.027,26,126,0.99,3.3,0.33,12.2,7
"667",6.1,0.41,0.2,12.6,0.032,54,136,0.99516,2.91,0.43,10.6,6
"668",7.2,0.16,0.32,0.8,0.04,50,121,0.9922,3.27,0.33,10,6
"669",6.4,0.32,0.23,16.2,0.055,36,176,0.9986,3.26,0.54,9.1,5
"670",6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,6
"671",6.5,0.25,0.35,12,0.055,47,179,0.998,3.58,0.47,10,5
"672",6.6,0.32,0.22,16.7,0.046,38,133,0.9979,3.22,0.67,10.4,6
"673",8.1,0.34,0.28,7.5,0.04,70,230,0.99558,3.14,0.55,9.8,6
"674",7.2,0.22,0.28,7.2,0.06,41,132,0.9935,3.08,0.59,11.3,6
"675",6.9,0.21,0.24,1.8,0.021,17,80,0.98992,3.15,0.46,12.3,7
"676",6.9,0.19,0.28,3,0.054,33,99,0.9924,3.16,0.4,10.8,6
"677",6.6,0.17,0.35,2.6,0.03,33,78,0.99146,3.22,0.72,11.3,6
"678",8.1,0.2,0.3,1.3,0.036,7,49,0.99242,2.99,0.73,10.3,5
"679",6.3,0.3,0.24,6.6,0.04,38,141,0.995,3.22,0.47,9.5,5
"680",6.6,0.38,0.29,2.9,0.035,15,101,0.98916,3.04,0.37,12.5,6
"681",8,0.14,0.33,1.2,0.045,71,162,0.9914,3.07,0.47,11,6
"682",6.1,0.15,0.35,15.8,0.042,55,158,0.99642,3.24,0.37,10.6,5
"683",8.2,0.37,0.36,1,0.034,17,93,0.9906,3.04,0.32,11.7,8
"684",9.2,0.71,0.23,6.2,0.042,15,93,0.9948,2.89,0.34,10.1,6
"685",7.7,0.2,0.44,13.9,0.05,44,130,0.99855,3.11,0.48,10,6
"686",7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6
"687",7.1,0.31,0.17,1,0.042,21,144,0.99304,3.13,0.4,9.6,5
"688",9.4,0.28,0.3,1.6,0.045,36,139,0.99534,3.11,0.49,9.3,5
"689",7.2,0.29,0.4,7.6,0.024,56,177,0.9928,3.04,0.32,11.5,6
"690",6.5,0.13,0.37,1,0.036,48,114,0.9911,3.41,0.51,11.5,8
"691",6.9,0.32,0.3,1.8,0.036,28,117,0.99269,3.24,0.48,11,6
"692",7.3,0.24,0.41,13.6,0.05,41,178,0.9988,3.37,0.43,9.7,5
"693",6.7,0.42,0.39,12.1,0.04,61,248,0.99794,3.31,0.58,9.7,5
"694",6.3,0.24,0.29,13.7,0.035,53,134,0.99567,3.17,0.38,10.6,6
"695",7.5,0.16,0.38,12.7,0.043,70.5,163,0.99706,3.15,0.82,10.4,7
"696",6.4,0.21,0.3,5.6,0.044,43,160,0.9949,3.6,0.41,10.6,6
"697",7.6,0.48,0.37,0.8,0.037,4,100,0.9902,3.03,0.39,11.4,4
"698",6.8,0.18,0.38,1.4,0.038,35,111,0.9918,3.32,0.59,11.2,7
"699",6.8,0.23,0.29,15.4,0.073,56,173,0.9984,3.06,0.41,8.7,6
"700",6.9,0.34,0.49,7.3,0.045,61,206,0.9957,3.09,0.4,9,6
"701",9.2,0.32,0.42,1.3,0.046,14,186,0.9949,3.08,0.48,9.6,5
"702",7.1,0.31,0.47,13.6,0.056,54,197,0.9978,3.1,0.49,9.3,5
"703",6.7,0.27,0.25,8,0.053,54,202,0.9961,3.22,0.43,9.3,5
"704",7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,7
"705",6.8,0.28,0.39,1.4,0.036,15,115,0.9918,3.27,0.72,11.7,5
"706",7,0.17,0.31,4.8,0.034,34,132,0.9944,3.36,0.48,9.6,7
"707",6.4,0.3,0.16,7.5,0.05,55,191,0.9959,3.17,0.49,9,5
"708",6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9,5
"709",6.8,0.23,0.42,7.4,0.044,56,189,0.9958,3.22,0.48,9.3,6
"710",6.9,0.3,0.21,15.7,0.056,49,159,0.99827,3.11,0.48,9,5
"711",7.7,0.16,0.49,2,0.056,20,124,0.9948,3.32,0.49,10.7,6
"712",7,0.17,0.33,4,0.034,17,127,0.9934,3.19,0.39,10.6,7
"713",6.6,0.55,0.01,2.7,0.034,56,122,0.9906,3.15,0.3,11.9,5
"714",7.2,0.6,0.2,9.9,0.07,21,174,0.9971,3.03,0.54,9.1,5
"715",6.4,0.16,0.32,8.75,0.038,38,118,0.99449,3.19,0.41,10.7,5
"716",7.4,0.27,0.52,15.7,0.054,36,139,0.99788,3.04,0.62,10.0333333333333,6
"717",7.2,0.32,0.36,2,0.033,37,114,0.9906,3.1,0.71,12.3,7
"718",7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6
"719",6.4,0.15,0.4,1.5,0.042,23,87,0.98972,3.11,0.46,12.2,7
"720",6.5,0.15,0.32,1.3,0.036,19,76,0.98964,3.18,0.41,12.3,6
"721",6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5
"722",7.2,0.32,0.4,8.7,0.038,45,154,0.99568,3.2,0.47,10.4,6
"723",7.7,0.44,0.24,11.2,0.031,41,167,0.9948,3.12,0.43,11.3,7
"724",7.6,0.27,0.25,13.9,0.05,45,199,0.9984,3.34,0.5,9.8,6
"725",5.8,0.33,0.23,5,0.053,29,106,0.99458,3.13,0.52,9,5
"726",5.1,0.26,0.34,6.4,0.034,26,99,0.99449,3.23,0.41,9.2,6
"727",9.2,0.14,0.37,1.1,0.034,36,84,0.99136,3.05,0.55,11.6,6
"728",6.6,0.78,0.5,1.5,0.045,30,133,0.99104,3.25,0.48,11.7,5
"729",7.4,0.21,0.8,12.3,0.038,77,183,0.99778,2.95,0.48,9,5
"730",6,0.31,0.27,2.3,0.042,19,120,0.98952,3.32,0.41,12.7,7
"731",7.8,0.27,0.35,1.2,0.05,36,140,0.99138,3.09,0.45,11.2,5
"732",6.4,0.29,0.3,2.9,0.036,25,79,0.99037,3.29,0.6,12.4,7
"733",6.6,0.43,0.24,11.9,0.04,54,159,0.99622,3.14,0.54,9.8,6
"734",7,0.21,0.42,5.3,0.037,36,123,0.99321,3.14,0.52,10.9,6
"735",9.2,0.34,0.54,17.3,0.06,46,235,1.00182,3.08,0.61,8.8,6
"736",7.5,0.21,0.68,10.9,0.045,38,133,0.9978,3,0.36,8.7,5
"737",6.5,0.43,0.28,12,0.056,23,174,0.9986,3.31,0.55,9.3,5
"738",7.5,0.19,0.49,1.6,0.047,42,140,0.9932,3.4,0.47,10.7,6
"739",10.2,0.44,0.88,6.2,0.049,20,124,0.9968,2.99,0.51,9.9,4
"740",6,0.17,0.21,6,0.05,26,134,0.9939,3.08,0.54,9.8,6
"741",7.3,0.33,0.22,1.4,0.041,40,177,0.99287,3.14,0.48,9.9,5
"742",6.2,0.355,0.35,2,0.046,31,95,0.98822,3.06,0.46,13.6,6
"743",6.2,0.45,0.26,4.4,0.063,63,206,0.994,3.27,0.52,9.8,4
"744",6.6,0.36,0.21,1.5,0.049,39,184,0.9928,3.18,0.41,9.9,6
"745",5.8,0.27,0.2,7.3,0.04,42,145,0.99442,3.15,0.48,9.8,5
"746",7.9,0.19,0.45,1.5,0.045,17,96,0.9917,3.13,0.39,11,6
"747",6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6
"748",7.4,0.2,0.35,2.1,0.038,30,116,0.9949,3.49,0.77,10.3,7
"749",6.1,0.28,0.26,1.5,0.03,25,101,0.98894,3.03,0.41,12.1,6
"750",6.4,0.46,0.22,14.7,0.047,51,183,0.998275,3.39,0.6,10.5,5
"751",6.1,0.28,0.3,7.75,0.031,33,139,0.99296,3.22,0.46,11,6
"752",6.9,0.15,0.29,2.3,0.033,14,82,0.99132,3.1,0.58,11.2,7
"753",6.1,0.28,0.27,4.7,0.03,56,140,0.99042,3.16,0.42,12.5,8
"754",6.4,0.2,0.32,3.1,0.041,18,126,0.9914,3.43,0.42,12,6
"755",6.9,0.44,0.42,8.5,0.048,10,147,0.9974,3.32,0.46,9.5,6
"756",6.9,0.27,0.41,1.7,0.047,6,134,0.9929,3.15,0.69,11.4,6
"757",6.7,0.18,0.24,10.3,0.057,64,185,0.99519,3.12,0.5,10.6,6
"758",6.8,0.19,0.4,9.85,0.055,41,103,0.99532,2.98,0.56,10.5,6
"759",7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4,5
"760",7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,5
"761",6,0.32,0.33,9.9,0.032,22,90,0.99258,3.1,0.43,12.1,7
"762",6.2,0.24,0.22,7.9,0.053,45,149,0.99545,3.23,0.52,9.3,5
"763",7,0.22,0.26,1.1,0.037,20,71,0.9902,3.1,0.38,11.7,6
"764",7.7,0.43,0.37,10,0.169,22,210,0.99776,3.02,0.64,9.5,5
"765",7.9,0.27,0.27,1.7,0.034,25,122,0.99088,2.97,0.51,11.9,6
"766",7.2,0.27,0.46,18.75,0.052,45,255,1,3.04,0.52,8.9,5
"767",8.2,0.37,0.64,13.9,0.043,22,171,0.99873,2.99,0.8,9.3,5
"768",7.3,0.22,0.31,2.3,0.018,45,80,0.98936,3.06,0.34,12.9,7
"769",6.6,0.25,0.35,14,0.069,42,163,0.999,3.56,0.47,9.8,5
"770",7.5,0.21,0.68,10.9,0.045,38,133,0.9978,3,0.36,8.7,5
"771",7.9,0.18,0.49,5.2,0.051,36,157,0.9953,3.18,0.48,10.6,6
"772",6,0.38,0.26,3.5,0.035,38,111,0.98872,3.18,0.47,13.6,7
"773",6.1,0.15,0.4,1.2,0.03,19,84,0.98926,3.19,0.96,13,6
"774",8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,4
"775",8.1,0.26,0.27,4.3,0.03,43,123,0.99212,3.16,0.33,11.2,6
"776",7.3,0.22,0.37,15.5,0.048,70,203,0.99899,3.25,0.77,9.4,5
"777",6.7,0.21,0.48,14.8,0.05,31,195,0.99942,2.95,0.75,8.8,6
"778",6.6,0.17,0.28,1.1,0.034,55,108,0.98939,3,0.52,11.9,7
"779",7.4,0.2,0.28,9.1,0.047,29,95,0.99532,3.16,0.47,9.8,7
"780",7.1,0.28,0.19,7.8,0.04,48,184,0.99579,3.16,0.5,9.4,5
"781",6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,7
"782",7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6
"783",7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,6
"784",6.7,0.3,0.5,12.1,0.045,38,127,0.9974,3.04,0.53,8.9,6
"785",7.7,0.43,0.28,4.5,0.046,33,102,0.9918,3.16,0.56,12.2,7
"786",6.8,0.28,0.37,7,0.057,35,208,0.9973,3.57,0.55,10.2,5
"787",6.6,0.31,0.38,16.05,0.058,16,165,0.9997,3.38,0.6,9.2,5
"788",7,0.3,0.51,13.6,0.05,40,168,0.9976,3.07,0.52,9.6,7
"789",6.7,0.11,0.26,14.8,0.053,44,95,0.99676,3.2,0.35,9.8,6
"790",5.2,0.365,0.08,13.5,0.041,37,142,0.997,3.46,0.39,9.9,6
"791",6.8,0.3,0.27,11.6,0.028,22,97,0.99314,2.96,0.38,11.7,6
"792",6.9,0.25,0.27,9.05,0.039,37,128,0.9936,3.27,0.34,11.3,8
"793",7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7
"794",6.9,0.26,0.31,7,0.039,37,175,0.99376,3.32,0.49,11.4,6
"795",6.6,0.27,0.49,7.8,0.049,62,217,0.9959,3.17,0.45,9.4,6
"796",7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7
"797",6.6,0.26,0.56,15.4,0.053,32,141,0.9981,3.11,0.49,9.3,5
"798",6.8,0.2,0.27,1.2,0.034,19,68,0.9902,3.14,0.37,11.7,4
"799",7.8,0.21,0.34,11.9,0.039,55,140,0.9959,3.02,0.31,10.3,6
"800",4.7,0.145,0.29,1,0.042,35,90,0.9908,3.76,0.49,11.3,6
"801",7.5,0.23,0.32,9.2,0.038,54,191,0.9966,3.04,0.56,9.7,6
"802",5.8,0.29,0.27,1.6,0.062,17,140,0.99138,3.23,0.35,11.1,6
"803",6.3,0.26,0.25,7.8,0.058,44,166,0.9961,3.24,0.41,9,5
"804",6.4,0.25,0.37,4.5,0.039,41,147,0.9921,3.18,0.4,11.1,7
"805",6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,5
"806",6.3,0.27,0.23,2.9,0.047,13,100,0.9936,3.28,0.43,9.8,5
"807",6,0.35,0.46,0.9,0.033,9,65,0.98934,3.24,0.35,12.1,4
"808",6,0.52,0.33,7.7,0.046,24,119,0.99224,3.04,0.38,11,6
"809",8.3,0.24,0.27,2.1,0.03,22,162,0.9914,2.99,0.68,11.9,6
"810",5.8,0.22,0.25,1.5,0.024,21,109,0.99234,3.37,0.58,10.4,6
"811",8.5,0.16,0.35,1.6,0.039,24,147,0.9935,2.96,0.36,10,5
"812",7.4,0.28,0.42,19.8,0.066,53,195,1,2.96,0.44,9.1,5
"813",7.6,0.51,0.24,1.2,0.04,10,104,0.992,3.05,0.29,10.8,6
"814",5.4,0.17,0.27,2.7,0.049,28,104,0.99224,3.46,0.55,10.3,6
"815",7.5,0.28,0.41,1.3,0.044,11,126,0.99293,3.28,0.45,10.3,5
"816",6.5,0.3,0.32,2,0.044,34,90,0.99185,3.37,0.68,11,7
"817",6.8,0.17,0.74,2.4,0.053,61,182,0.9953,3.63,0.76,10.5,6
"818",6.6,0.28,0.42,8.2,0.044,60,196,0.99562,3.14,0.48,9.4,5
"819",6.4,0.27,0.45,8.3,0.05,52,196,0.9955,3.18,0.48,9.5,5
"820",5.3,0.16,0.39,1,0.028,40,101,0.99156,3.57,0.59,10.6,6
"821",6.6,0.435,0.38,9.2,0.058,66,243,0.99833,3.23,0.54,9.1,6
"822",6.2,0.33,0.29,1.3,0.042,26,138,0.9956,3.77,0.64,9.5,5
"823",8.3,0.26,0.31,2,0.029,14,141,0.99077,2.95,0.77,12.2,6
"824",6.1,0.44,0.28,4.25,0.032,43,132,0.9916,3.26,0.47,11.3,7
"825",7.5,0.305,0.38,1.4,0.047,30,95,0.99158,3.22,0.52,11.5,7
"826",5.6,0.28,0.28,4.2,0.044,52,158,0.992,3.35,0.44,10.7,7
"827",7.1,0.15,0.34,5.3,0.034,33,104,0.9953,3.37,0.52,9.3,7
"828",5.6,0.695,0.06,6.8,0.042,9,84,0.99432,3.44,0.44,10.2,5
"829",7.1,0.23,0.39,1.6,0.032,12,65,0.9898,3.25,0.4,12.7,7
"830",5.3,0.23,0.56,0.9,0.041,46,141,0.99119,3.16,0.62,9.7,5
"831",7.1,0.3,0.36,6.8,0.055,44.5,234,0.9972,3.49,0.64,10.2,6
"832",7.8,0.13,0.3,1.8,0.04,43,179,0.9955,3.43,0.41,9,5
"833",5.8,0.26,0.18,1.2,0.031,40,114,0.9908,3.42,0.4,11,7
"834",7.8,0.17,0.23,1.7,0.029,39,128,0.99272,3.37,0.41,10.7,7
"835",7.6,0.32,0.34,18.35,0.054,44,197,1.0008,3.22,0.55,9,5
"836",7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,6
"837",5.7,0.15,0.47,11.4,0.035,49,128,0.99456,3.03,0.34,10.5,8
"838",7,0.23,0.26,7.2,0.041,21,90,0.99509,3.22,0.55,9.5,6
"839",6.6,0.39,0.38,9.7,0.053,49,226,0.99787,3.3,0.57,9.4,6
"840",7.6,0.38,0.2,3.4,0.046,9,116,0.9944,3.15,0.41,9.4,5
"841",7.3,0.19,0.49,15.55,0.058,50,134,0.9998,3.42,0.36,9.1,7
"842",7.8,0.2,0.32,5,0.016,31,101,0.99186,2.99,0.39,11,6
"843",6.6,0.4,0.3,5.3,0.038,20,125,0.99204,3.36,0.73,12.6,6
"844",5.6,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2,5
"845",6.7,0.19,0.32,3.7,0.041,26,76,0.99173,2.9,0.57,10.5,7
"846",6.6,0.21,0.3,9.9,0.041,64,174,0.995,3.07,0.5,10.1,6
"847",6.8,0.25,0.34,4.7,0.031,34,134,0.9927,3.21,0.38,10.6,6
"848",6.1,0.2,0.34,9.5,0.041,38,201,0.995,3.14,0.44,10.1,3
"849",7.8,0.27,0.58,11.2,0.036,44,161,0.9977,3.06,0.41,8.9,6
"850",7.3,0.27,0.39,6.7,0.064,28,188,0.9958,3.29,0.3,9.7,5
"851",7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7,5
"852",6.2,0.32,0.24,4.1,0.051,34,149,0.99306,3.36,0.52,11,5
"853",6.6,0.21,0.38,2.2,0.026,40,104,0.9914,3.25,0.4,11.1,8
"854",6.9,0.21,0.62,6.3,0.042,7,109,0.99358,2.96,0.59,10.2,6
"855",6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,7
"856",7.4,0.41,0.66,10.8,0.051,77,194,0.9976,3.05,0.46,8.7,5
"857",6.5,0.31,0.61,13,0.053,31,123,0.99708,3.09,0.5,9.3,6
"858",6,0.17,0.3,7.3,0.039,39,104,0.99252,2.91,0.57,11,6
"859",7.1,0.37,0.3,6.2,0.04,49,139,0.99021,3.17,0.27,13.6,6
"860",6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,6
"861",7,0.22,0.26,9.2,0.027,37,122,0.99228,3.06,0.34,12.5,8
"862",6.6,0.19,0.43,10.9,0.045,53,154,0.99752,3.52,0.77,10.4,6
"863",7.8,0.28,0.32,9,0.036,34,115,0.9952,3.17,0.39,10.3,7
"864",6.9,0.29,0.3,8.2,0.026,35,112,0.99144,3,0.37,12.3,6
"865",7.5,0.33,0.39,12.4,0.065,29,119,0.9974,3.16,0.39,9.4,5
"866",6.4,0.23,0.26,8.1,0.054,47,181,0.9954,3.12,0.49,9.4,5
"867",6.7,0.25,0.26,1.55,0.041,118.5,216,0.9949,3.55,0.63,9.4,3
"868",7,0.3,0.49,4.7,0.036,17,105,0.9916,3.26,0.68,12.4,7
"869",6.4,0.28,0.41,6.8,0.045,61,216,0.9952,3.09,0.46,9.4,5
"870",6,0.4,0.3,1.6,0.047,30,117,0.9931,3.17,0.48,10.1,6
"871",6.1,0.26,0.25,2.9,0.047,289,440,0.99314,3.44,0.64,10.5,3
"872",7.9,0.41,0.37,4.5,0.03,40,114,0.992,3.17,0.54,12.4,7
"873",5.7,0.21,0.32,1.6,0.03,33,122,0.99044,3.33,0.52,11.9,6
"874",8,0.25,0.49,9,0.044,31,185,0.998,3.34,0.49,10,6
"875",6.1,0.25,0.18,10.5,0.049,41,124,0.9963,3.14,0.35,10.5,5
"876",6.1,0.2,0.4,1.9,0.028,32,138,0.9914,3.26,0.72,11.7,5
"877",5.8,0.29,0.38,10.7,0.038,49,136,0.99366,3.11,0.59,11.2,6
"878",7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7
"879",5.7,0.21,0.24,2.3,0.047,60,189,0.995,3.65,0.72,10.1,6
"880",6.8,0.3,0.33,12.8,0.041,60,168,0.99659,3.1,0.56,9.8,5
"881",6,0.43,0.34,7.6,0.045,25,118,0.99222,3.03,0.37,11,6
"882",6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6
"883",7,0.14,0.4,1.7,0.035,16,85,0.9911,3.19,0.42,11.8,6
"884",6.5,0.2,0.24,9.2,0.044,25,150,0.99502,3.22,0.44,10.5,5
"885",6.7,0.25,0.31,1.35,0.061,30.5,218,0.99388,3.16,0.53,9.5,5
"886",6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9,6
"887",6.2,0.36,0.22,5.25,0.038,44,145,0.99184,3.22,0.4,11.2,6
"888",7,0.15,0.34,1.4,0.039,21,177,0.9927,3.32,0.62,10.8,5
"889",6.8,0.39,0.34,7.4,0.02,38,133,0.99212,3.18,0.44,12,7
"890",6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,7
"891",5.4,0.595,0.1,2.8,0.042,26,80,0.9932,3.36,0.38,9.3,5
"892",6.5,0.46,0.41,16.8,0.084,59,222,0.9993,3.18,0.58,9,5
"893",7.5,0.25,0.32,8.2,0.024,53,209,0.99563,3.12,0.46,10.8,6
"894",6.9,0.3,0.25,3.3,0.041,26,124,0.99428,3.18,0.5,9.3,6
"895",7.1,0.34,0.2,6.1,0.063,47,164,0.9946,3.17,0.42,10,5
"896",5.4,0.415,0.19,1.6,0.039,27,88,0.99265,3.54,0.41,10,7
"897",7.6,0.16,0.41,1.9,0.047,27,151,0.9937,3.2,0.53,10.1,6
"898",6.4,0.29,0.32,2.4,0.014,34,89,0.99008,3.24,0.66,12.5,7
"899",8.1,0.24,0.33,10.2,0.048,46,141,0.9972,3.16,0.48,10.3,6
"900",7.6,0.19,0.37,13.1,0.033,52,151,0.99726,3.18,0.79,10.4,6
"901",6.6,0.27,0.29,5.3,0.045,57,189,0.9953,3.31,0.79,9.8,5
"902",6.4,0.29,0.28,11.1,0.063,66,169,0.9973,2.89,0.57,9,5
"903",8.2,0.61,0.45,5.4,0.03,15,118,0.9954,3.14,0.34,9.6,5
"904",7,0.22,0.24,11,0.041,75,167,0.99508,2.98,0.56,10.5,6
"905",8.3,0.39,0.7,10.6,0.045,33,169,0.9976,3.09,0.57,9.4,5
"906",5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9,8
"907",5.9,0.28,0.14,8.6,0.032,30,142,0.99542,3.28,0.44,9.5,6
"908",6.7,0.24,0.3,3.85,0.042,105,179,0.99189,3.04,0.59,11.3,8
"909",6.7,0.2,0.42,14,0.038,83,160,0.9987,3.16,0.5,9.4,6
"910",8,0.13,0.25,1.1,0.033,15,86,0.99044,2.98,0.39,11.2,8
"911",6.5,0.26,0.31,1.3,0.034,59,145,0.98944,3.16,0.54,12.4,6
"912",7.1,0.35,0.27,3.1,0.034,28,134,0.9897,3.26,0.38,13.1,7
"913",5.6,0.21,0.24,4.4,0.027,37,150,0.991,3.3,0.31,11.5,7
"914",7.4,0.2,0.33,1.9,0.035,39,138,0.991,3.17,0.44,11.7,7
"915",5,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14,7
"916",6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5,5
"917",5.7,0.25,0.26,12.5,0.049,52.5,106,0.99691,3.08,0.45,9.4,6
"918",8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7,5
"919",6.8,0.28,0.17,13.9,0.047,49,162,0.9983,3.21,0.51,9,6
"920",6.8,0.27,0.49,1.2,0.044,35,126,0.99,3.13,0.48,12.1,7
"921",5.1,0.25,0.36,1.3,0.035,40,78,0.9891,3.23,0.64,12.1,7
