"fixedacidity","volatileacidity","citricacid","residualsugar","chlorides","freesulfurdioxide","totalsulfurdioxide","density","pH","sulphates","alcohol","quality"
8.3,0.21,0.4,1.6,0.032,35,110,0.9907,3.02,0.6,12.9,7
8.5,0.21,0.41,4.3,0.036,24,99,0.9947,3.18,0.53,9.7,6
7.6,0.285,0.32,14.6,0.063,32,201,0.998,3,0.45,9.2,5
8.4,0.2,0.31,2.8,0.054,16,89,0.99416,2.96,0.45,9.5,6
7.4,0.24,0.22,10.7,0.042,26,81,0.9954,2.86,0.36,9.7,6
6.6,0.34,0.24,3.3,0.034,29,99,0.99031,3.1,0.4,12.3,7
6.4,0.26,0.21,7.1,0.04,35,162,0.9956,3.39,0.58,9.9,6
6,0.555,0.26,4.5,0.053,17,126,0.9943,3.24,0.46,9.1,5
7.1,0.34,0.49,1.5,0.027,26,126,0.99,3.3,0.33,12.2,7
6.1,0.41,0.2,12.6,0.032,54,136,0.99516,2.91,0.43,10.6,6
7.2,0.16,0.32,0.8,0.04,50,121,0.9922,3.27,0.33,10,6
6.4,0.32,0.23,16.2,0.055,36,176,0.9986,3.26,0.54,9.1,5
6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,6
6.5,0.25,0.35,12,0.055,47,179,0.998,3.58,0.47,10,5
6.6,0.32,0.22,16.7,0.046,38,133,0.9979,3.22,0.67,10.4,6
8.1,0.34,0.28,7.5,0.04,70,230,0.99558,3.14,0.55,9.8,6
7.2,0.22,0.28,7.2,0.06,41,132,0.9935,3.08,0.59,11.3,6
6.9,0.21,0.24,1.8,0.021,17,80,0.98992,3.15,0.46,12.3,7
6.9,0.19,0.28,3,0.054,33,99,0.9924,3.16,0.4,10.8,6
6.6,0.17,0.35,2.6,0.03,33,78,0.99146,3.22,0.72,11.3,6
8.1,0.2,0.3,1.3,0.036,7,49,0.99242,2.99,0.73,10.3,5
6.3,0.3,0.24,6.6,0.04,38,141,0.995,3.22,0.47,9.5,5
6.6,0.38,0.29,2.9,0.035,15,101,0.98916,3.04,0.37,12.5,6
8,0.14,0.33,1.2,0.045,71,162,0.9914,3.07,0.47,11,6
6.1,0.15,0.35,15.8,0.042,55,158,0.99642,3.24,0.37,10.6,5
8.2,0.37,0.36,1,0.034,17,93,0.9906,3.04,0.32,11.7,8
9.2,0.71,0.23,6.2,0.042,15,93,0.9948,2.89,0.34,10.1,6
7.7,0.2,0.44,13.9,0.05,44,130,0.99855,3.11,0.48,10,6
7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6
7.1,0.31,0.17,1,0.042,21,144,0.99304,3.13,0.4,9.6,5
9.4,0.28,0.3,1.6,0.045,36,139,0.99534,3.11,0.49,9.3,5
7.2,0.29,0.4,7.6,0.024,56,177,0.9928,3.04,0.32,11.5,6
6.5,0.13,0.37,1,0.036,48,114,0.9911,3.41,0.51,11.5,8
6.9,0.32,0.3,1.8,0.036,28,117,0.99269,3.24,0.48,11,6
7.3,0.24,0.41,13.6,0.05,41,178,0.9988,3.37,0.43,9.7,5
6.7,0.42,0.39,12.1,0.04,61,248,0.99794,3.31,0.58,9.7,5
6.3,0.24,0.29,13.7,0.035,53,134,0.99567,3.17,0.38,10.6,6
7.5,0.16,0.38,12.7,0.043,70.5,163,0.99706,3.15,0.82,10.4,7
6.4,0.21,0.3,5.6,0.044,43,160,0.9949,3.6,0.41,10.6,6
7.6,0.48,0.37,0.8,0.037,4,100,0.9902,3.03,0.39,11.4,4
6.8,0.18,0.38,1.4,0.038,35,111,0.9918,3.32,0.59,11.2,7
6.8,0.23,0.29,15.4,0.073,56,173,0.9984,3.06,0.41,8.7,6
6.9,0.34,0.49,7.3,0.045,61,206,0.9957,3.09,0.4,9,6
9.2,0.32,0.42,1.3,0.046,14,186,0.9949,3.08,0.48,9.6,5
7.1,0.31,0.47,13.6,0.056,54,197,0.9978,3.1,0.49,9.3,5
6.7,0.27,0.25,8,0.053,54,202,0.9961,3.22,0.43,9.3,5
7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,7
6.8,0.28,0.39,1.4,0.036,15,115,0.9918,3.27,0.72,11.7,5
7,0.17,0.31,4.8,0.034,34,132,0.9944,3.36,0.48,9.6,7
6.4,0.3,0.16,7.5,0.05,55,191,0.9959,3.17,0.49,9,5
6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9,5
6.8,0.23,0.42,7.4,0.044,56,189,0.9958,3.22,0.48,9.3,6
6.9,0.3,0.21,15.7,0.056,49,159,0.99827,3.11,0.48,9,5
7.7,0.16,0.49,2,0.056,20,124,0.9948,3.32,0.49,10.7,6
7,0.17,0.33,4,0.034,17,127,0.9934,3.19,0.39,10.6,7
6.6,0.55,0.01,2.7,0.034,56,122,0.9906,3.15,0.3,11.9,5
7.2,0.6,0.2,9.9,0.07,21,174,0.9971,3.03,0.54,9.1,5
6.4,0.16,0.32,8.75,0.038,38,118,0.99449,3.19,0.41,10.7,5
7.4,0.27,0.52,15.7,0.054,36,139,0.99788,3.04,0.62,10.0333333333333,6
7.2,0.32,0.36,2,0.033,37,114,0.9906,3.1,0.71,12.3,7
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6
6.4,0.15,0.4,1.5,0.042,23,87,0.98972,3.11,0.46,12.2,7
6.5,0.15,0.32,1.3,0.036,19,76,0.98964,3.18,0.41,12.3,6
6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5
7.2,0.32,0.4,8.7,0.038,45,154,0.99568,3.2,0.47,10.4,6
7.7,0.44,0.24,11.2,0.031,41,167,0.9948,3.12,0.43,11.3,7
7.6,0.27,0.25,13.9,0.05,45,199,0.9984,3.34,0.5,9.8,6
5.8,0.33,0.23,5,0.053,29,106,0.99458,3.13,0.52,9,5
5.1,0.26,0.34,6.4,0.034,26,99,0.99449,3.23,0.41,9.2,6
9.2,0.14,0.37,1.1,0.034,36,84,0.99136,3.05,0.55,11.6,6
6.6,0.78,0.5,1.5,0.045,30,133,0.99104,3.25,0.48,11.7,5
7.4,0.21,0.8,12.3,0.038,77,183,0.99778,2.95,0.48,9,5
6,0.31,0.27,2.3,0.042,19,120,0.98952,3.32,0.41,12.7,7
7.8,0.27,0.35,1.2,0.05,36,140,0.99138,3.09,0.45,11.2,5
6.4,0.29,0.3,2.9,0.036,25,79,0.99037,3.29,0.6,12.4,7
6.6,0.43,0.24,11.9,0.04,54,159,0.99622,3.14,0.54,9.8,6
7,0.21,0.42,5.3,0.037,36,123,0.99321,3.14,0.52,10.9,6
9.2,0.34,0.54,17.3,0.06,46,235,1.00182,3.08,0.61,8.8,6
7.5,0.21,0.68,10.9,0.045,38,133,0.9978,3,0.36,8.7,5
6.5,0.43,0.28,12,0.056,23,174,0.9986,3.31,0.55,9.3,5
7.5,0.19,0.49,1.6,0.047,42,140,0.9932,3.4,0.47,10.7,6
10.2,0.44,0.88,6.2,0.049,20,124,0.9968,2.99,0.51,9.9,4
6,0.17,0.21,6,0.05,26,134,0.9939,3.08,0.54,9.8,6
7.3,0.33,0.22,1.4,0.041,40,177,0.99287,3.14,0.48,9.9,5
6.2,0.355,0.35,2,0.046,31,95,0.98822,3.06,0.46,13.6,6
6.2,0.45,0.26,4.4,0.063,63,206,0.994,3.27,0.52,9.8,4
6.6,0.36,0.21,1.5,0.049,39,184,0.9928,3.18,0.41,9.9,6
5.8,0.27,0.2,7.3,0.04,42,145,0.99442,3.15,0.48,9.8,5
7.9,0.19,0.45,1.5,0.045,17,96,0.9917,3.13,0.39,11,6
6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6
7.4,0.2,0.35,2.1,0.038,30,116,0.9949,3.49,0.77,10.3,7
6.1,0.28,0.26,1.5,0.03,25,101,0.98894,3.03,0.41,12.1,6
6.4,0.46,0.22,14.7,0.047,51,183,0.998275,3.39,0.6,10.5,5
6.1,0.28,0.3,7.75,0.031,33,139,0.99296,3.22,0.46,11,6
6.9,0.15,0.29,2.3,0.033,14,82,0.99132,3.1,0.58,11.2,7
6.1,0.28,0.27,4.7,0.03,56,140,0.99042,3.16,0.42,12.5,8
6.4,0.2,0.32,3.1,0.041,18,126,0.9914,3.43,0.42,12,6
6.9,0.44,0.42,8.5,0.048,10,147,0.9974,3.32,0.46,9.5,6
6.9,0.27,0.41,1.7,0.047,6,134,0.9929,3.15,0.69,11.4,6
6.7,0.18,0.24,10.3,0.057,64,185,0.99519,3.12,0.5,10.6,6
6.8,0.19,0.4,9.85,0.055,41,103,0.99532,2.98,0.56,10.5,6
7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4,5
7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,5
6,0.32,0.33,9.9,0.032,22,90,0.99258,3.1,0.43,12.1,7
6.2,0.24,0.22,7.9,0.053,45,149,0.99545,3.23,0.52,9.3,5
7,0.22,0.26,1.1,0.037,20,71,0.9902,3.1,0.38,11.7,6
7.7,0.43,0.37,10,0.169,22,210,0.99776,3.02,0.64,9.5,5
7.9,0.27,0.27,1.7,0.034,25,122,0.99088,2.97,0.51,11.9,6
7.2,0.27,0.46,18.75,0.052,45,255,1,3.04,0.52,8.9,5
8.2,0.37,0.64,13.9,0.043,22,171,0.99873,2.99,0.8,9.3,5
7.3,0.22,0.31,2.3,0.018,45,80,0.98936,3.06,0.34,12.9,7
6.6,0.25,0.35,14,0.069,42,163,0.999,3.56,0.47,9.8,5
7.5,0.21,0.68,10.9,0.045,38,133,0.9978,3,0.36,8.7,5
7.9,0.18,0.49,5.2,0.051,36,157,0.9953,3.18,0.48,10.6,6
6,0.38,0.26,3.5,0.035,38,111,0.98872,3.18,0.47,13.6,7
6.1,0.15,0.4,1.2,0.03,19,84,0.98926,3.19,0.96,13,6
8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,4
8.1,0.26,0.27,4.3,0.03,43,123,0.99212,3.16,0.33,11.2,6
7.3,0.22,0.37,15.5,0.048,70,203,0.99899,3.25,0.77,9.4,5
6.7,0.21,0.48,14.8,0.05,31,195,0.99942,2.95,0.75,8.8,6
6.6,0.17,0.28,1.1,0.034,55,108,0.98939,3,0.52,11.9,7
7.4,0.2,0.28,9.1,0.047,29,95,0.99532,3.16,0.47,9.8,7
7.1,0.28,0.19,7.8,0.04,48,184,0.99579,3.16,0.5,9.4,5
6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,7
7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6
7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,6
6.7,0.3,0.5,12.1,0.045,38,127,0.9974,3.04,0.53,8.9,6
7.7,0.43,0.28,4.5,0.046,33,102,0.9918,3.16,0.56,12.2,7
6.8,0.28,0.37,7,0.057,35,208,0.9973,3.57,0.55,10.2,5
6.6,0.31,0.38,16.05,0.058,16,165,0.9997,3.38,0.6,9.2,5
7,0.3,0.51,13.6,0.05,40,168,0.9976,3.07,0.52,9.6,7
6.7,0.11,0.26,14.8,0.053,44,95,0.99676,3.2,0.35,9.8,6
5.2,0.365,0.08,13.5,0.041,37,142,0.997,3.46,0.39,9.9,6
6.8,0.3,0.27,11.6,0.028,22,97,0.99314,2.96,0.38,11.7,6
6.9,0.25,0.27,9.05,0.039,37,128,0.9936,3.27,0.34,11.3,8
7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7
6.9,0.26,0.31,7,0.039,37,175,0.99376,3.32,0.49,11.4,6
6.6,0.27,0.49,7.8,0.049,62,217,0.9959,3.17,0.45,9.4,6
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7
6.6,0.26,0.56,15.4,0.053,32,141,0.9981,3.11,0.49,9.3,5
6.8,0.2,0.27,1.2,0.034,19,68,0.9902,3.14,0.37,11.7,4
7.8,0.21,0.34,11.9,0.039,55,140,0.9959,3.02,0.31,10.3,6
4.7,0.145,0.29,1,0.042,35,90,0.9908,3.76,0.49,11.3,6
7.5,0.23,0.32,9.2,0.038,54,191,0.9966,3.04,0.56,9.7,6
5.8,0.29,0.27,1.6,0.062,17,140,0.99138,3.23,0.35,11.1,6
6.3,0.26,0.25,7.8,0.058,44,166,0.9961,3.24,0.41,9,5
6.4,0.25,0.37,4.5,0.039,41,147,0.9921,3.18,0.4,11.1,7
6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,5
6.3,0.27,0.23,2.9,0.047,13,100,0.9936,3.28,0.43,9.8,5
6,0.35,0.46,0.9,0.033,9,65,0.98934,3.24,0.35,12.1,4
6,0.52,0.33,7.7,0.046,24,119,0.99224,3.04,0.38,11,6
8.3,0.24,0.27,2.1,0.03,22,162,0.9914,2.99,0.68,11.9,6
5.8,0.22,0.25,1.5,0.024,21,109,0.99234,3.37,0.58,10.4,6
8.5,0.16,0.35,1.6,0.039,24,147,0.9935,2.96,0.36,10,5
7.4,0.28,0.42,19.8,0.066,53,195,1,2.96,0.44,9.1,5
7.6,0.51,0.24,1.2,0.04,10,104,0.992,3.05,0.29,10.8,6
5.4,0.17,0.27,2.7,0.049,28,104,0.99224,3.46,0.55,10.3,6
7.5,0.28,0.41,1.3,0.044,11,126,0.99293,3.28,0.45,10.3,5
6.5,0.3,0.32,2,0.044,34,90,0.99185,3.37,0.68,11,7
6.8,0.17,0.74,2.4,0.053,61,182,0.9953,3.63,0.76,10.5,6
6.6,0.28,0.42,8.2,0.044,60,196,0.99562,3.14,0.48,9.4,5
6.4,0.27,0.45,8.3,0.05,52,196,0.9955,3.18,0.48,9.5,5
5.3,0.16,0.39,1,0.028,40,101,0.99156,3.57,0.59,10.6,6
6.6,0.435,0.38,9.2,0.058,66,243,0.99833,3.23,0.54,9.1,6
6.2,0.33,0.29,1.3,0.042,26,138,0.9956,3.77,0.64,9.5,5
8.3,0.26,0.31,2,0.029,14,141,0.99077,2.95,0.77,12.2,6
6.1,0.44,0.28,4.25,0.032,43,132,0.9916,3.26,0.47,11.3,7
7.5,0.305,0.38,1.4,0.047,30,95,0.99158,3.22,0.52,11.5,7
5.6,0.28,0.28,4.2,0.044,52,158,0.992,3.35,0.44,10.7,7
7.1,0.15,0.34,5.3,0.034,33,104,0.9953,3.37,0.52,9.3,7
5.6,0.695,0.06,6.8,0.042,9,84,0.99432,3.44,0.44,10.2,5
7.1,0.23,0.39,1.6,0.032,12,65,0.9898,3.25,0.4,12.7,7
5.3,0.23,0.56,0.9,0.041,46,141,0.99119,3.16,0.62,9.7,5
7.1,0.3,0.36,6.8,0.055,44.5,234,0.9972,3.49,0.64,10.2,6
7.8,0.13,0.3,1.8,0.04,43,179,0.9955,3.43,0.41,9,5
5.8,0.26,0.18,1.2,0.031,40,114,0.9908,3.42,0.4,11,7
7.8,0.17,0.23,1.7,0.029,39,128,0.99272,3.37,0.41,10.7,7
7.6,0.32,0.34,18.35,0.054,44,197,1.0008,3.22,0.55,9,5
7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,6
5.7,0.15,0.47,11.4,0.035,49,128,0.99456,3.03,0.34,10.5,8
7,0.23,0.26,7.2,0.041,21,90,0.99509,3.22,0.55,9.5,6
6.6,0.39,0.38,9.7,0.053,49,226,0.99787,3.3,0.57,9.4,6
7.6,0.38,0.2,3.4,0.046,9,116,0.9944,3.15,0.41,9.4,5
7.3,0.19,0.49,15.55,0.058,50,134,0.9998,3.42,0.36,9.1,7
7.8,0.2,0.32,5,0.016,31,101,0.99186,2.99,0.39,11,6
6.6,0.4,0.3,5.3,0.038,20,125,0.99204,3.36,0.73,12.6,6
5.6,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2,5
6.7,0.19,0.32,3.7,0.041,26,76,0.99173,2.9,0.57,10.5,7
6.6,0.21,0.3,9.9,0.041,64,174,0.995,3.07,0.5,10.1,6
6.8,0.25,0.34,4.7,0.031,34,134,0.9927,3.21,0.38,10.6,6
6.1,0.2,0.34,9.5,0.041,38,201,0.995,3.14,0.44,10.1,3
7.8,0.27,0.58,11.2,0.036,44,161,0.9977,3.06,0.41,8.9,6
7.3,0.27,0.39,6.7,0.064,28,188,0.9958,3.29,0.3,9.7,5
7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7,5
6.2,0.32,0.24,4.1,0.051,34,149,0.99306,3.36,0.52,11,5
6.6,0.21,0.38,2.2,0.026,40,104,0.9914,3.25,0.4,11.1,8
6.9,0.21,0.62,6.3,0.042,7,109,0.99358,2.96,0.59,10.2,6
6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,7
7.4,0.41,0.66,10.8,0.051,77,194,0.9976,3.05,0.46,8.7,5
6.5,0.31,0.61,13,0.053,31,123,0.99708,3.09,0.5,9.3,6
6,0.17,0.3,7.3,0.039,39,104,0.99252,2.91,0.57,11,6
7.1,0.37,0.3,6.2,0.04,49,139,0.99021,3.17,0.27,13.6,6
6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,6
7,0.22,0.26,9.2,0.027,37,122,0.99228,3.06,0.34,12.5,8
6.6,0.19,0.43,10.9,0.045,53,154,0.99752,3.52,0.77,10.4,6
7.8,0.28,0.32,9,0.036,34,115,0.9952,3.17,0.39,10.3,7
6.9,0.29,0.3,8.2,0.026,35,112,0.99144,3,0.37,12.3,6
7.5,0.33,0.39,12.4,0.065,29,119,0.9974,3.16,0.39,9.4,5
6.4,0.23,0.26,8.1,0.054,47,181,0.9954,3.12,0.49,9.4,5
6.7,0.25,0.26,1.55,0.041,118.5,216,0.9949,3.55,0.63,9.4,3
7,0.3,0.49,4.7,0.036,17,105,0.9916,3.26,0.68,12.4,7
6.4,0.28,0.41,6.8,0.045,61,216,0.9952,3.09,0.46,9.4,5
6,0.4,0.3,1.6,0.047,30,117,0.9931,3.17,0.48,10.1,6
6.1,0.26,0.25,2.9,0.047,289,440,0.99314,3.44,0.64,10.5,3
7.9,0.41,0.37,4.5,0.03,40,114,0.992,3.17,0.54,12.4,7
5.7,0.21,0.32,1.6,0.03,33,122,0.99044,3.33,0.52,11.9,6
8,0.25,0.49,9,0.044,31,185,0.998,3.34,0.49,10,6
6.1,0.25,0.18,10.5,0.049,41,124,0.9963,3.14,0.35,10.5,5
6.1,0.2,0.4,1.9,0.028,32,138,0.9914,3.26,0.72,11.7,5
5.8,0.29,0.38,10.7,0.038,49,136,0.99366,3.11,0.59,11.2,6
7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7
5.7,0.21,0.24,2.3,0.047,60,189,0.995,3.65,0.72,10.1,6
6.8,0.3,0.33,12.8,0.041,60,168,0.99659,3.1,0.56,9.8,5
6,0.43,0.34,7.6,0.045,25,118,0.99222,3.03,0.37,11,6
6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6
7,0.14,0.4,1.7,0.035,16,85,0.9911,3.19,0.42,11.8,6
6.5,0.2,0.24,9.2,0.044,25,150,0.99502,3.22,0.44,10.5,5
6.7,0.25,0.31,1.35,0.061,30.5,218,0.99388,3.16,0.53,9.5,5
6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9,6
6.2,0.36,0.22,5.25,0.038,44,145,0.99184,3.22,0.4,11.2,6
7,0.15,0.34,1.4,0.039,21,177,0.9927,3.32,0.62,10.8,5
6.8,0.39,0.34,7.4,0.02,38,133,0.99212,3.18,0.44,12,7
6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,7
5.4,0.595,0.1,2.8,0.042,26,80,0.9932,3.36,0.38,9.3,5
6.5,0.46,0.41,16.8,0.084,59,222,0.9993,3.18,0.58,9,5
7.5,0.25,0.32,8.2,0.024,53,209,0.99563,3.12,0.46,10.8,6
6.9,0.3,0.25,3.3,0.041,26,124,0.99428,3.18,0.5,9.3,6
7.1,0.34,0.2,6.1,0.063,47,164,0.9946,3.17,0.42,10,5
5.4,0.415,0.19,1.6,0.039,27,88,0.99265,3.54,0.41,10,7
7.6,0.16,0.41,1.9,0.047,27,151,0.9937,3.2,0.53,10.1,6
6.4,0.29,0.32,2.4,0.014,34,89,0.99008,3.24,0.66,12.5,7
8.1,0.24,0.33,10.2,0.048,46,141,0.9972,3.16,0.48,10.3,6
7.6,0.19,0.37,13.1,0.033,52,151,0.99726,3.18,0.79,10.4,6
6.6,0.27,0.29,5.3,0.045,57,189,0.9953,3.31,0.79,9.8,5
6.4,0.29,0.28,11.1,0.063,66,169,0.9973,2.89,0.57,9,5
8.2,0.61,0.45,5.4,0.03,15,118,0.9954,3.14,0.34,9.6,5
7,0.22,0.24,11,0.041,75,167,0.99508,2.98,0.56,10.5,6
8.3,0.39,0.7,10.6,0.045,33,169,0.9976,3.09,0.57,9.4,5
5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9,8
5.9,0.28,0.14,8.6,0.032,30,142,0.99542,3.28,0.44,9.5,6
6.7,0.24,0.3,3.85,0.042,105,179,0.99189,3.04,0.59,11.3,8
6.7,0.2,0.42,14,0.038,83,160,0.9987,3.16,0.5,9.4,6
8,0.13,0.25,1.1,0.033,15,86,0.99044,2.98,0.39,11.2,8
6.5,0.26,0.31,1.3,0.034,59,145,0.98944,3.16,0.54,12.4,6
7.1,0.35,0.27,3.1,0.034,28,134,0.9897,3.26,0.38,13.1,7
5.6,0.21,0.24,4.4,0.027,37,150,0.991,3.3,0.31,11.5,7
7.4,0.2,0.33,1.9,0.035,39,138,0.991,3.17,0.44,11.7,7
5,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14,7
6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5,5
5.7,0.25,0.26,12.5,0.049,52.5,106,0.99691,3.08,0.45,9.4,6
8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7,5
6.8,0.28,0.17,13.9,0.047,49,162,0.9983,3.21,0.51,9,6
6.8,0.27,0.49,1.2,0.044,35,126,0.99,3.13,0.48,12.1,7
5.1,0.25,0.36,1.3,0.035,40,78,0.9891,3.23,0.64,12.1,7
6.2,0.25,0.44,15.8,0.057,39,167,0.99804,3.14,0.51,9.2,5
6.8,0.25,0.38,8.1,0.046,24,155,0.9956,3.33,0.59,10.2,6
7.6,0.29,0.29,4.4,0.051,26,146,0.9939,3.16,0.39,10.2,5
7.2,0.21,0.33,3,0.036,35,132,0.9928,3.25,0.4,11,6
6.4,0.42,0.19,9.3,0.043,28,145,0.99433,3.23,0.53,10.98,5
8.4,0.27,0.3,2.2,0.037,36,129,0.99085,2.89,0.3,11.4666666666667,6
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7
6.2,0.34,0.3,11.1,0.047,28,237,0.9981,3.18,0.49,8.7,5
6.9,0.28,0.33,1.2,0.039,16,98,0.9904,3.07,0.39,11.7,6
7.15,0.17,0.24,9.6,0.119,56,178,0.99578,3.15,0.44,10.2,6
6.4,0.26,0.35,7.7,0.056,45,191,0.99527,3.16,0.5,9.5,5
7.1,0.31,0.38,1.2,0.036,10,124,0.9924,3.14,0.44,9.9,6
5.4,0.265,0.28,7.8,0.052,27,91,0.99432,3.19,0.38,10.4,6
6.4,0.31,0.4,6.2,0.04,46,169,0.9953,3.15,0.46,9.3,6
6.2,0.21,0.28,5.7,0.028,45,121,0.99168,3.21,1.08,12.15,7
7.2,0.2,0.36,2.5,0.028,22,157,0.9938,3.48,0.49,10.6,6
6.7,0.26,0.26,4,0.079,35.5,216,0.9956,3.31,0.68,9.5,5
7.2,0.37,0.15,2,0.029,27,87,0.9903,3.3,0.59,12.6,7
6.8,0.24,0.37,7.45,0.043,59,188,0.99579,3.2,0.5,9.4,6
6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,7
6.9,0.31,0.34,7.4,0.059,36,174,0.9963,3.46,0.62,11.1,7
7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,5
7.4,0.4,0.41,14.1,0.053,37,194,0.99886,3.2,0.63,9.4,6
5.7,0.2,0.3,2.5,0.046,38,125,0.99276,3.34,0.5,9.9,6
7.1,0.34,0.32,2,0.051,29,130,0.99354,3.3,0.5,10.4,6
7.3,0.23,0.24,0.9,0.031,29,86,0.98926,2.9,0.38,12.2,6
9.2,0.25,0.34,1.2,0.026,31,93,0.9916,2.93,0.37,11.3,7
7.2,0.26,0.32,10.4,0.062,23,114,0.9966,3.23,0.49,10.5,5
6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6
5.6,0.24,0.34,2,0.041,14,73,0.98981,3.04,0.45,11.6,7
7,0.24,0.34,1.4,0.031,27,107,0.99,3.06,0.39,11.9,6
6.6,0.24,0.3,13,0.052,18,143,0.99825,3.37,0.49,9.4,6
7.2,0.23,0.39,1.5,0.053,26,106,0.99166,3.18,0.47,11.1,6
7.8,0.23,0.28,4.75,0.042,45,166,0.9928,2.96,0.4,11.5,5
6.5,0.08,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12,7
5.8,0.35,0.29,3.2,0.034,41,151,0.9912,3.35,0.58,11.6333333333333,7
7.6,0.23,0.26,15.3,0.067,32,166,0.9986,3.03,0.44,9.2,4
6.1,0.34,0.21,5,0.042,17,133,0.99373,3.02,0.53,9.4,5
6.4,0.145,0.49,5.4,0.048,54,164,0.9946,3.56,0.44,10.8,6
7.2,0.26,0.24,7,0.023,19,130,0.99176,3.14,0.49,12.8,7
8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5
7.3,0.2,0.29,19.5,0.039,69,237,1.00037,3.1,0.48,9.2,6
7.2,0.23,0.39,2.3,0.033,29,102,0.9908,3.26,0.54,12.3,7
7.3,0.22,0.4,14.75,0.042,44.5,129.5,0.9998,3.36,0.41,9.1,7
7.3,0.36,0.62,7.1,0.033,48,185,0.99472,3.14,0.62,10.6,6
6.6,0.18,0.28,1.7,0.041,53,161,0.99207,3.13,0.45,10.2,6
6.9,0.25,0.4,1.3,0.038,22,101,0.9901,3.03,0.39,11.4,6
6.3,0.24,0.29,1.6,0.052,48,185,0.9934,3.21,0.5,9.4,5
7.2,0.24,0.3,1.6,0.048,27,131,0.9933,3.25,0.45,10.5,5
7.4,0.18,0.34,2.7,0.03,30,107,0.992,2.97,0.53,11,6
5.9,0.26,0.29,5.4,0.046,34,116,0.99224,3.24,0.41,11.4,6
6.5,0.43,0.28,11.25,0.032,31,87,0.9922,3.02,0.38,12.4,6
6.8,0.15,0.3,5.3,0.05,40,127,0.9942,3.4,0.39,9.7,6
6.7,0.31,0.3,2.1,0.038,18,130,0.9928,3.36,0.63,10.6,6
6.15,0.21,0.37,3.2,0.021,20,80,0.99076,3.39,0.47,12,5
8.8,0.19,0.3,5,0.028,34,120,0.99242,2.94,0.47,11.2,5
6.7,0.16,0.28,2.5,0.046,40,153,0.9921,3.38,0.51,11.4,7
5.4,0.24,0.18,2.3,0.05,22,145,0.99207,3.24,0.46,10.3,5
5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7
6,0.19,0.29,1.2,0.046,29,92,0.99033,3.22,0.53,11.3,6
5.7,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,7
6,0.26,0.26,2.2,0.035,10,72,0.989465,3.11,0.48,12.15,6
6.9,0.22,0.39,6,0.035,44,141,0.99123,3.11,0.33,12.5,6
7.5,0.38,0.56,9.7,0.055,15,170,0.99605,3.13,0.65,9.9,6
6.9,0.615,0.42,12,0.067,24,131,0.99727,3.19,0.34,9.3,5
